Age,Nationality,Potential,Club,Value,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
2,137,2,467,1,4,0,1.0,3.0,3.0,2,2,6,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,5,2,3,3,4,4,4,4,3,4,4,4,1,1,1,1,1
1,137,4,212,1,3,0,1.0,3.0,3.0,2,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,2,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,1,1,1,1,1
3,137,2,633,1,4,0,2.0,4.0,4.0,0,5,25,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,5,4,4,2,2,2,1,1,1,1,1
3,121,1,408,1,3,1,1.0,4.0,3.0,2,2,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,2,1,1,1,1,1
1,137,2,496,1,3,1,1.0,3.0,3.0,6,5,2,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,2,4,4,3,3,4,4,4,3,4,4,4,3,4,4,3,4,3,4,4,4,4,1,1,1,1,1
1,55,4,473,1,4,0,1.0,3.0,3.0,8,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,5,5,4,4,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,1,1,1,1,1
4,20,1,295,1,3,0,1.0,3.0,3.0,2,2,8,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,3,3,4,4,4,4,3,2,2,1,1,1,1,1
3,159,1,54,1,3,1,1.0,3.0,2.0,8,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,4,4,2,3,3,3,4,4,4,4,4,4,4,2,5,4,4,2,4,4,3,3,3,4,4,4,4,1,1,1,1,1
2,55,2,412,1,3,1,1.0,3.0,3.0,2,2,16,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,1,1,1,1,1
2,20,2,595,1,2,0,1.0,2.0,2.0,6,5,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,3,2,2,3,4,4,4,3,4,2,3,3,4,4,2,4,4,2,3,3,4,4,4,4,1,1,1,1,1
3,59,1,4,1,3,1,1.0,3.0,3.0,8,5,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,3,4,3,4,5,5,4,4,5,4,4,4,4,4,3,2,4,4,4,4,2,2,2,1,1,1,1,1
3,121,1,0,1,2,1,1.0,4.0,2.0,8,5,7,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,3,3,2,4,4,4,4,4,4,3,3,4,4,4,2,4,4,3,3,2,4,4,4,4,1,1,1,1,1
2,77,3,505,1,3,1,1.0,3.0,3.0,0,2,21,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,3,4,4,3,4,4,5,4,4,4,4,3,2,4,3,3,3,3,4,4,3,4,3,3,3,1,1,1,1,1
1,155,2,443,1,2,0,1.0,3.0,2.0,3,2,7,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,2,2,4,3,2,3,3,2,4,3,4,4,3,4,3,3,4,4,4,3,4,4,2,2,3,3,4,4,4,1,1,1,1,1
4,61,1,417,1,3,1,2.0,3.0,3.0,6,5,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,1,1,1,1,1
4,153,1,27,1,3,1,1.0,3.0,3.0,7,8,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,5,4,4,4,3,3,3,4,4,3,4,4,3,4,4,4,5,4,4,2,4,3,4,4,3,3,2,1,1,1,1,1
5,121,1,108,1,3,1,1.0,3.0,3.0,2,2,25,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,4,4,4,2,4,3,5,4,1,2,2,1,1,1,1,1
2,121,1,537,1,2,1,1.0,3.0,3.0,7,2,11,5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,2,3,4,4,4,4,4,3,4,4,4,4,4,3,2,4,4,3,4,1,2,1,1,1,1,1,1
4,100,1,141,1,4,1,2.0,3.0,3.0,0,2,16,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,5,4,4,4,4,4,5,5,4,4,4,4,3,4,3,4,4,4,4,1,1,1,1,1
3,148,2,584,1,3,1,1.0,3.0,3.0,2,5,21,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,4,4,4,4,3,2,2,1,1,1,1,1
2,151,1,642,1,1,1,1.0,2.0,2.0,3,5,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,2,2,4,4,2,2,2,2,2,3,3,4,3,4,4,2,4,4,4,1,3,4,1,2,3,3,4,4,4,1,1,1,1,1
2,137,2,43,1,3,1,1.0,3.0,3.0,8,5,19,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,2,4,3,4,4,4,4,4,4,4,5,4,5,4,3,4,4,4,3,4,4,4,3,4,3,3,3,1,1,1,1,1
2,6,2,65,1,3,1,1.0,4.0,3.0,2,5,11,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,3,2,4,4,3,3,3,2,2,1,1,1,1,1
2,77,3,326,1,4,1,2.0,5.0,3.0,8,2,16,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,3,3,4,4,4,4,1,1,1,1,1
2,55,3,412,1,3,1,1.0,3.0,2.0,8,2,17,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,2,3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,3,4,4,4,4,1,1,1,1,1
3,107,1,213,1,3,1,2.0,4.0,3.0,7,2,21,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,4,4,4,2,2,2,1,1,1,1,1
3,20,1,551,1,3,0,1.0,3.0,2.0,8,5,9,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,2,4,2,2,4,4,4,4,3,4,4,4,5,4,4,3,4,4,3,3,2,4,4,4,4,1,1,1,1,1
3,77,1,431,1,2,1,1.0,3.0,2.0,2,5,17,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,4,3,2,3,3,3,4,3,3,3,3,4,4,4,3,4,4,3,5,4,2,3,2,4,4,4,4,1,1,1,1,1
2,55,2,17,1,2,1,1.0,2.0,2.0,8,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,2,4,4,2,3,3,2,4,4,3,3,3,4,3,3,4,4,4,2,4,4,3,3,2,4,4,4,4,1,1,1,1,1
1,137,2,467,1,3,1,1.0,3.0,3.0,8,2,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,3,4,4,3,3,3,4,3,4,3,3,4,4,3,4,3,4,2,3,4,4,3,1,1,1,1,1
4,137,2,530,1,4,1,3.0,3.0,4.0,1,5,11,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,4,4,5,4,4,4,4,4,5,5,5,4,4,4,4,5,4,3,5,4,4,5,3,2,2,1,1,1,1,1
2,55,2,93,1,2,1,1.0,3.0,2.0,8,5,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,3,3,2,3,3,4,4,4,4,3,3,4,4,5,2,4,4,3,2,3,4,4,4,4,1,1,1,1,1
3,20,1,607,1,4,1,1.0,4.0,3.0,6,5,18,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1
3,137,1,475,1,3,1,1.0,3.0,3.0,2,5,16,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,4,4,3,3,4,5,4,5,4,5,4,4,5,4,3,4,4,4,3,3,4,4,4,4,1,1,1,1,1
4,8,1,298,1,4,1,1.0,3.0,2.0,6,5,7,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4,4,1,1,1,1,1
3,96,2,15,1,3,1,1.0,3.0,2.0,3,2,19,4,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,3,3,4,4,3,2,3,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,1,1,1,1,1
2,59,2,5,1,3,0,1.0,3.0,3.0,7,5,11,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,2,4,4,4,3,2,2,2,1,1,1,1,1
3,55,2,206,1,4,1,2.0,3.0,3.0,3,2,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,5,5,4,4,3,4,4,4,4,1,1,1,1,1
3,29,1,600,1,2,1,1.0,2.0,2.0,8,2,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,4,3,3,3,2,2,3,3,3,4,3,4,4,3,4,4,4,3,4,4,2,3,3,4,4,4,4,1,1,1,1,1
3,59,2,86,1,4,0,2.0,2.0,2.0,0,5,6,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,5,4,3,3,3,4,4,4,4,1,1,1,1,1
2,146,2,331,1,3,1,1.0,4.0,3.0,2,5,25,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,5,4,4,4,4,4,3,3,4,5,5,4,4,4,4,5,4,4,4,4,1,4,3,4,4,2,1,1,1,1,1,1,1
3,39,2,297,1,4,1,2.0,4.0,3.0,0,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,5,4,4,5,4,5,4,4,5,3,4,3,4,4,4,4,4,4,4,3,1,1,1,1,1
2,29,2,77,1,2,1,2.0,3.0,2.0,6,5,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,4,4,2,3,2,2,3,4,2,3,3,4,3,3,4,4,5,2,4,4,3,3,2,4,4,4,4,1,1,1,1,1
3,43,1,642,1,2,1,1.0,3.0,2.0,2,8,7,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,3,2,4,4,2,3,2,3,3,4,3,3,2,4,3,3,4,3,5,2,4,4,2,3,3,3,4,4,4,1,1,1,1,1
2,9,3,3,1,3,0,1.0,3.0,3.0,2,2,21,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,5,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,2,4,4,4,4,3,2,2,1,1,1,1,1
3,46,2,89,1,4,1,1.0,3.0,3.0,2,2,16,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,1,1,1,1,1
2,6,2,462,1,3,0,1.0,2.0,3.0,8,2,6,3,2,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,2,4,4,3,3,4,4,4,4,4,4,3,4,5,4,2,4,4,3,3,2,4,4,4,4,1,1,1,1,1
2,20,3,220,1,3,1,2.0,3.0,3.0,6,5,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,5,3,3,3,4,4,4,4,1,1,1,1,1
3,20,1,35,1,4,0,1.0,3.0,3.0,8,8,6,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,3,4,4,4,1,1,1,1,1
3,100,2,580,1,3,1,1.0,4.0,4.0,2,2,11,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,4,4,3,4,3,4,4,4,4,4,5,5,5,4,5,4,4,4,2,4,3,2,4,4,4,4,2,2,2,1,1,1,1,1
3,20,2,62,1,4,0,1.0,3.0,4.0,2,2,6,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,3,4,5,5,5,4,5,4,3,4,2,4,4,4,4,4,3,4,4,4,4,1,1,1,1,1
2,133,2,523,1,3,1,1.0,4.0,3.0,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,4,4,3,4,3,3,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,4,3,4,3,3,3,1,1,1,1,1
3,65,2,198,1,2,0,1.0,3.0,2.0,8,8,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,4,3,2,3,2,2,3,3,4,4,3,4,3,3,4,4,5,3,5,4,2,2,3,4,4,4,4,1,1,1,1,1
4,130,2,534,1,3,1,3.0,3.0,3.0,2,5,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,5,4,2,3,3,1,1,1,1,1
4,55,1,8,1,3,1,1.0,4.0,3.0,8,5,25,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,4,3,4,4,3,3,4,5,4,4,4,4,2,4,3,4,4,2,1,1,1,1,1,1,1
2,22,3,418,1,4,0,2.0,1.0,4.0,2,2,21,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,5,4,4,4,5,5,5,5,4,4,4,4,4,4,4,3,3,4,4,4,4,2,2,2,1,1,1,1,1
3,6,1,462,1,3,1,1.0,4.0,3.0,2,5,22,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,4,4,5,4,4,4,3,4,4,4,4,2,4,4,4,4,1,2,2,1,1,1,1,1
4,30,1,533,1,4,1,1.0,4.0,3.0,0,5,8,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,5,4,4,4,3,4,4,4,4,1,1,1,1,1
3,61,2,12,1,3,1,1.0,4.0,3.0,2,2,21,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,3,2,1,1,1,1,1
3,46,1,408,1,3,1,1.0,4.0,3.0,8,5,11,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,1,1,1,1
2,40,2,566,1,3,1,1.0,3.0,3.0,2,5,25,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,4,5,4,4,4,4,4,4,4,4,3,2,4,4,4,4,2,2,1,1,1,1,1,1
2,77,2,505,1,2,1,1.0,3.0,2.0,2,2,25,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,2,3,4,4,4,4,4,4,3,4,4,4,3,2,2,4,3,4,3,2,2,2,1,1,1,1,1
3,121,1,474,1,4,0,1.0,2.0,3.0,8,5,9,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,1,1,1,1,1
3,35,2,461,1,3,1,1.0,4.0,3.0,2,5,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,5,5,4,4,4,2,4,3,4,3,3,3,4,3,4,4,5,5,4,4,2,4,4,4,4,2,2,2,1,1,1,1,1
3,46,1,635,1,2,1,1.0,2.0,2.0,8,5,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,2,2,4,3,2,3,2,2,3,3,3,3,3,3,3,3,4,4,5,2,4,4,4,2,2,3,4,4,4,1,1,1,1,1
4,128,1,41,1,4,1,2.0,3.0,3.0,6,5,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1
3,46,1,79,1,3,1,1.0,4.0,3.0,0,2,21,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,1,1,1,1,1
1,54,3,211,1,3,1,1.0,3.0,3.0,0,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,1,1,1,1,1
3,85,1,311,1,3,1,1.0,3.0,3.0,2,2,13,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,3,3,4,5,5,5,3,5,3,4,4,3,3,3,2,4,4,3,3,2,2,2,1,1,1,1,1
2,155,1,187,1,2,1,1.0,3.0,3.0,2,2,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,2,3,4,5,4,4,4,5,3,3,4,2,3,3,3,4,4,3,3,3,3,3,1,1,1,1,1
3,124,1,187,1,1,1,1.0,2.0,2.0,6,5,1,4,4,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,4,4,3,2,1,4,3,1,2,2,2,3,3,2,3,3,4,3,3,4,4,5,2,4,4,2,2,2,3,4,4,4,1,1,1,1,1
3,31,1,216,1,3,1,1.0,2.0,3.0,1,5,21,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,4,4,3,4,4,4,4,4,3,4,5,5,5,4,5,4,4,4,2,3,3,3,4,4,3,4,3,2,2,1,1,1,1,1
1,46,4,363,1,3,1,1.0,3.0,3.0,8,5,1,4,3,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,3,2,3,4,4,5,4,4,4,3,4,4,4,2,4,5,3,3,2,4,4,4,4,1,1,1,1,1
3,29,2,250,1,4,1,2.0,3.0,3.0,0,2,16,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1
3,108,1,189,1,2,0,1.0,3.0,2.0,5,8,7,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,4,4,1,2,2,2,3,4,4,3,4,4,3,3,4,4,5,2,4,4,2,3,3,3,4,4,4,1,1,1,1,1
